model_key,model,protocol,protocol_name,direction,row_type,genre,is_seen,n,mrr,recall_at_1,recall_at_5,recall_at_10,mean_rank
baseline,Baseline (kein Head),A,pair,V2A,genre,Blues,1,367,0.029054157493201848,0.005449591280653951,0.043596730245231606,0.06267029972752043,1088.149863760218
baseline,Baseline (kein Head),A,pair,V2A,genre,Classical music,0,366,0.08026784352793011,0.030054644808743168,0.11475409836065574,0.19398907103825136,542.4781420765028
baseline,Baseline (kein Head),A,pair,V2A,genre,Country,0,367,0.032589575785364554,0.010899182561307902,0.04087193460490463,0.07084468664850137,906.7547683923706
baseline,Baseline (kein Head),A,pair,V2A,genre,Electronic music,1,367,0.016551733153162097,0.008174386920980926,0.02452316076294278,0.0326975476839237,1396.8392370572208
baseline,Baseline (kein Head),A,pair,V2A,genre,Funk,1,367,0.007972112410208813,0.0027247956403269754,0.005449591280653951,0.008174386920980926,1308.7111716621253
baseline,Baseline (kein Head),A,pair,V2A,genre,Hip hop music,0,367,0.0075383649567522205,0.0,0.013623978201634877,0.013623978201634877,1326.057220708447
baseline,Baseline (kein Head),A,pair,V2A,genre,Jazz,1,367,0.028255019582443853,0.010899182561307902,0.02997275204359673,0.051771117166212535,975.2179836512262
baseline,Baseline (kein Head),A,pair,V2A,genre,Pop music,1,367,0.016817935489468194,0.008174386920980926,0.013623978201634877,0.021798365122615803,1259.700272479564
baseline,Baseline (kein Head),A,pair,V2A,genre,Reggae,1,366,0.0058595760493188615,0.0,0.00819672131147541,0.01366120218579235,1369.5382513661202
baseline,Baseline (kein Head),A,pair,V2A,genre,Rock music,1,367,0.01217272498548373,0.0027247956403269754,0.013623978201634877,0.02452316076294278,1422.0953678474114
baseline,Baseline (kein Head),A,pair,V2A,seen_mean,,,,0.016669037023326772,0.00544959128065395,0.019855273149595752,0.030756582795712643,1260.0360211176978
baseline,Baseline (kein Head),A,pair,V2A,unseen_mean,,,,0.040131928090015624,0.013651275790017023,0.05641667038906509,0.09281924529612919,925.0967103924401
baseline,Baseline (kein Head),A,pair,V2A,overall_mean,,,,0.02370790434333343,0.00791009663346287,0.030823692321436547,0.04937538154583761,1159.5542279001206
baseline,Baseline (kein Head),A,pair,A2V,genre,Blues,1,367,0.025252579266514405,0.010899182561307902,0.02997275204359673,0.051771117166212535,994.4959128065395
baseline,Baseline (kein Head),A,pair,A2V,genre,Classical music,0,366,0.053448897006986996,0.01366120218579235,0.08196721311475409,0.13114754098360656,780.5956284153006
baseline,Baseline (kein Head),A,pair,A2V,genre,Country,0,367,0.025398446436855727,0.010899182561307902,0.027247956403269755,0.043596730245231606,1204.2288828337876
baseline,Baseline (kein Head),A,pair,A2V,genre,Electronic music,1,367,0.010019138110640756,0.0027247956403269754,0.005449591280653951,0.01907356948228883,990.3514986376022
baseline,Baseline (kein Head),A,pair,A2V,genre,Funk,1,367,0.005522546847674128,0.0,0.0027247956403269754,0.008174386920980926,1147.449591280654
baseline,Baseline (kein Head),A,pair,A2V,genre,Hip hop music,0,367,0.004048283745934393,0.0,0.0,0.0027247956403269754,960.9863760217984
baseline,Baseline (kein Head),A,pair,A2V,genre,Jazz,1,367,0.02463062395644253,0.005449591280653951,0.0326975476839237,0.05449591280653951,1066.566757493188
baseline,Baseline (kein Head),A,pair,A2V,genre,Pop music,1,367,0.004787444730363155,0.0,0.0027247956403269754,0.005449591280653951,1144.068119891008
baseline,Baseline (kein Head),A,pair,A2V,genre,Reggae,1,366,0.007577505766995016,0.00273224043715847,0.00546448087431694,0.01092896174863388,1174.6174863387978
baseline,Baseline (kein Head),A,pair,A2V,genre,Rock music,1,367,0.013132810407205727,0.008174386920980926,0.010899182561307902,0.01634877384196185,1360.2942779291552
baseline,Baseline (kein Head),A,pair,A2V,seen_mean,,,,0.012988949869405103,0.0042828852629183175,0.012847592246350454,0.023748901892467356,1125.4062349109922
baseline,Baseline (kein Head),A,pair,A2V,unseen_mean,,,,0.027631875729925707,0.008186794915700084,0.03640505650600795,0.05915635562305505,981.9369624236288
baseline,Baseline (kein Head),A,pair,A2V,overall_mean,,,,0.017381827627561283,0.005454058158752847,0.0199148315242477,0.03437113801164366,1082.365453164783
baseline,Baseline (kein Head),B,label,V2A,genre,Blues,1,367,0.350593217403083,0.1771117166212534,0.5831062670299727,0.784741144414169,7.994550408719346
baseline,Baseline (kein Head),B,label,V2A,genre,Classical music,0,366,0.7671706467946668,0.6530054644808743,0.8961748633879781,0.953551912568306,2.9153005464480874
baseline,Baseline (kein Head),B,label,V2A,genre,Country,0,367,0.4574058945226057,0.2724795640326976,0.7084468664850136,0.8692098092643051,5.664850136239782
baseline,Baseline (kein Head),B,label,V2A,genre,Electronic music,1,367,0.5011620937033743,0.3215258855585831,0.7411444141689373,0.8746594005449592,5.727520435967302
baseline,Baseline (kein Head),B,label,V2A,genre,Funk,1,367,0.22543807297597723,0.07084468664850137,0.3923705722070845,0.6212534059945504,12.141689373297003
baseline,Baseline (kein Head),B,label,V2A,genre,Hip hop music,0,367,0.4695064977737386,0.2970027247956403,0.6920980926430518,0.782016348773842,7.3188010899182565
baseline,Baseline (kein Head),B,label,V2A,genre,Jazz,1,367,0.32510180921557796,0.18256130790190736,0.47956403269754766,0.662125340599455,11.155313351498638
