protocol,protocol_name,direction,model_key,model,mrr,recall_at_1,recall_at_5,recall_at_10,precision_at_1,precision_at_10,mean_rank
A,pair,V2A,baseline,Baseline,0.023697353353181058,0.007906215921483098,0.030806979280261722,0.04934569247546347,,,1159.664667393675
A,pair,V2A,untrained,Untrained heads,0.001956960219422132,0.0,0.0016357688113413304,0.0024536532170119957,,,1873.3645038167938
A,pair,V2A,pair,Pair-based,0.026625692695542613,0.006815703380588877,0.030806979280261722,0.05588876772082879,,,670.643947655398
A,pair,V2A,genre,Genre-based,0.010656678401456253,0.0027262813522355507,0.010087241003271538,0.016902944383860415,,,929.1275899672846
A,pair,V2A,audio_encoder_pair,Audio-Encoder Pair,0.03861787481510905,0.012540894220283533,0.05070883315158124,0.07988004362050163,,,595.73173391494
A,pair,V2A,audio_encoder_genre,Audio-Encoder Genre,0.011767941876514363,0.0021810250817884407,0.011995637949836423,0.02153762268266085,,,901.3181570338058
A,pair,A2V,baseline,Baseline,0.01737466787807408,0.0054525627044711015,0.01990185387131952,0.03435114503816794,,,1082.4223009814614
A,pair,A2V,untrained,Untrained heads,0.0023470995632288738,0.0002726281352235551,0.0013631406761177754,0.0019083969465648854,,,1865.0444383860415
A,pair,A2V,pair,Pair-based,0.024633117518146782,0.0059978189749182115,0.02862595419847328,0.05288985823336968,,,670.6180479825518
A,pair,A2V,genre,Genre-based,0.01073057828928242,0.0027262813522355507,0.008996728462377318,0.016357688113413305,,,901.3312431842966
A,pair,A2V,audio_encoder_pair,Audio-Encoder Pair,0.03748024225094809,0.013631406761177753,0.04389312977099236,0.07279171210468921,,,597.9274809160305
A,pair,A2V,audio_encoder_genre,Audio-Encoder Genre,0.009176622618173624,0.0010905125408942203,0.008178844056706653,0.014176663031624863,,,902.262268266085
B,label,V2A,baseline,Baseline,0.41908295099862386,0.2554525627044711,0.6224100327153762,0.7870774263904035,0.2554525627044711,0.2408396946564918,7.899127589967285
B,label,V2A,untrained,Untrained heads,0.22010815674374423,0.10169029443838604,0.3238822246455834,0.48336968375136313,0.10169029443838604,0.08563249727371866,20.23936750272628
B,label,V2A,pair,Pair-based,0.48456452342879525,0.326608505997819,0.6714830970556162,0.8121592148309705,0.326608505997819,0.2980098146128703,7.699291166848419
B,label,V2A,genre,Genre-based,0.4572397612185705,0.3317884405670665,0.6038713195201745,0.7276444929116684,0.3317884405670665,0.300517993456927,14.518266085059977
B,label,V2A,audio_encoder_pair,Audio-Encoder Pair,0.4848062046599604,0.3211559432933479,0.6897491821155943,0.8173391494002181,0.3211559432933479,0.31750272628135345,7.963740458015267
B,label,V2A,audio_encoder_genre,Audio-Encoder Genre,0.459486088422368,0.31406761177753545,0.6344056706652127,0.7295528898582334,0.31406761177753545,0.3235278080697929,14.557251908396946
B,label,A2V,baseline,Baseline,0.36040754027402494,0.21210468920392583,0.5365321701199564,0.6793893129770993,0.21210468920392583,0.20133587786259885,15.77071973827699
B,label,A2V,untrained,Untrained heads,0.23340498525509354,0.0831515812431843,0.3925845147219193,0.5989640130861504,0.0831515812431843,0.09187568157033775,13.497273718647765
B,label,A2V,pair,Pair-based,0.45386424301689404,0.29934569247546344,0.6338604143947656,0.7772628135223555,0.29934569247546344,0.2923664122137434,9.927480916030534
B,label,A2V,genre,Genre-based,0.4012820423805324,0.26908396946564883,0.5452562704471101,0.6690294438386042,0.26908396946564883,0.2694111232279202,18.093238822246455
B,label,A2V,audio_encoder_pair,Audio-Encoder Pair,0.4801450344770938,0.3287895310796074,0.6603053435114504,0.7884405670665212,0.3287895310796074,0.3205288985823348,10.176663031624864
B,label,A2V,audio_encoder_genre,Audio-Encoder Genre,0.41886805125698395,0.28544165757906215,0.5703380588876772,0.6646673936750273,0.28544165757906215,0.30343511450381766,23.297709923664122
