epoch,train_loss,val_loss,best_val,is_best,epochs_without_improvement
1,3.8893389170078283,3.8324459707128615,3.8324459707128615,1,0
2,3.8117186950721806,3.8046413976764417,3.8046413976764417,1,0
3,3.7817818504741076,3.794459216131233,3.794459216131233,1,0
4,3.7563976160870967,3.795594306181598,3.794459216131233,0,1
5,3.740743394686105,3.7882502368790285,3.7882502368790285,1,0
6,3.71922906913821,3.824875965627381,3.7882502368790285,0,1
7,3.6960695163634463,3.804603651241426,3.7882502368790285,0,2
8,3.672082998995391,3.815504786844703,3.7882502368790285,0,3
