model_key,model,protocol,protocol_name,direction,row_type,genre,is_seen,n,mrr,recall_at_1,recall_at_5,recall_at_10,mean_rank
baseline,Baseline (kein Head),A,pair,V2A,genre,Blues,1,367,0.029054157493201848,0.005449591280653951,0.043596730245231606,0.06267029972752043,1088.149863760218
baseline,Baseline (kein Head),A,pair,V2A,genre,Classical music,1,366,0.08026784352793011,0.030054644808743168,0.11475409836065574,0.19398907103825136,542.4781420765028
baseline,Baseline (kein Head),A,pair,V2A,genre,Country,1,367,0.032589575785364554,0.010899182561307902,0.04087193460490463,0.07084468664850137,906.7547683923706
baseline,Baseline (kein Head),A,pair,V2A,genre,Electronic music,0,367,0.016551733153162097,0.008174386920980926,0.02452316076294278,0.0326975476839237,1396.8392370572208
baseline,Baseline (kein Head),A,pair,V2A,genre,Funk,0,367,0.007972112410208813,0.0027247956403269754,0.005449591280653951,0.008174386920980926,1308.7111716621253
baseline,Baseline (kein Head),A,pair,V2A,genre,Hip hop music,1,367,0.0075383649567522205,0.0,0.013623978201634877,0.013623978201634877,1326.057220708447
baseline,Baseline (kein Head),A,pair,V2A,genre,Jazz,1,367,0.028255019582443853,0.010899182561307902,0.02997275204359673,0.051771117166212535,975.2179836512262
baseline,Baseline (kein Head),A,pair,V2A,genre,Pop music,1,367,0.016817935489468194,0.008174386920980926,0.013623978201634877,0.021798365122615803,1259.700272479564
baseline,Baseline (kein Head),A,pair,V2A,genre,Reggae,0,366,0.0058595760493188615,0.0,0.00819672131147541,0.01366120218579235,1369.5382513661202
baseline,Baseline (kein Head),A,pair,V2A,genre,Rock music,1,367,0.01217272498548373,0.0027247956403269754,0.013623978201634877,0.02452316076294278,1422.0953678474114
baseline,Baseline (kein Head),A,pair,V2A,seen_mean,,,,0.02952794597437779,0.009743111967617261,0.03858106426561333,0.06274581123823987,1074.350516987963
baseline,Baseline (kein Head),A,pair,V2A,unseen_mean,,,,0.010127807204229922,0.0036330608537693005,0.012723157785024046,0.018177712263565658,1358.3628866951553
baseline,Baseline (kein Head),A,pair,V2A,overall_mean,,,,0.02370790434333343,0.007910096633462873,0.03082369232143655,0.04937538154583761,1159.5542279001206
baseline,Baseline (kein Head),A,pair,A2V,genre,Blues,1,367,0.025252579266514405,0.010899182561307902,0.02997275204359673,0.051771117166212535,994.4959128065395
baseline,Baseline (kein Head),A,pair,A2V,genre,Classical music,1,366,0.053448897006986996,0.01366120218579235,0.08196721311475409,0.13114754098360656,780.5956284153006
baseline,Baseline (kein Head),A,pair,A2V,genre,Country,1,367,0.025398446436855727,0.010899182561307902,0.027247956403269755,0.043596730245231606,1204.2288828337876
baseline,Baseline (kein Head),A,pair,A2V,genre,Electronic music,0,367,0.010019138110640756,0.0027247956403269754,0.005449591280653951,0.01907356948228883,990.3514986376022
baseline,Baseline (kein Head),A,pair,A2V,genre,Funk,0,367,0.005522546847674128,0.0,0.0027247956403269754,0.008174386920980926,1147.449591280654
baseline,Baseline (kein Head),A,pair,A2V,genre,Hip hop music,1,367,0.004048283745934393,0.0,0.0,0.0027247956403269754,960.9863760217984
baseline,Baseline (kein Head),A,pair,A2V,genre,Jazz,1,367,0.02463062395644253,0.005449591280653951,0.0326975476839237,0.05449591280653951,1066.566757493188
baseline,Baseline (kein Head),A,pair,A2V,genre,Pop music,1,367,0.004787444730363155,0.0,0.0027247956403269754,0.005449591280653951,1144.068119891008
baseline,Baseline (kein Head),A,pair,A2V,genre,Reggae,0,366,0.007577505766995016,0.00273224043715847,0.00546448087431694,0.01092896174863388,1174.6174863387978
baseline,Baseline (kein Head),A,pair,A2V,genre,Rock music,1,367,0.013132810407205727,0.008174386920980926,0.010899182561307902,0.01634877384196185,1360.2942779291552
baseline,Baseline (kein Head),A,pair,A2V,seen_mean,,,,0.021528440792900422,0.00701193507286329,0.026501349635311307,0.043647780280647586,1073.033707912968
baseline,Baseline (kein Head),A,pair,A2V,unseen_mean,,,,0.007706396908436633,0.0018190120258284818,0.004546289265099288,0.012725639383967877,1104.1395254190181
baseline,Baseline (kein Head),A,pair,A2V,overall_mean,,,,0.017381827627561283,0.005454058158752847,0.0199148315242477,0.034371138011643675,1082.3654531647833
baseline,Baseline (kein Head),B,label,V2A,genre,Blues,1,367,0.350593217403083,0.1771117166212534,0.5831062670299727,0.784741144414169,7.994550408719346
baseline,Baseline (kein Head),B,label,V2A,genre,Classical music,1,366,0.7671706467946668,0.6530054644808743,0.8961748633879781,0.953551912568306,2.9153005464480874
baseline,Baseline (kein Head),B,label,V2A,genre,Country,1,367,0.4574058945226057,0.2724795640326976,0.7084468664850136,0.8692098092643051,5.664850136239782
baseline,Baseline (kein Head),B,label,V2A,genre,Electronic music,0,367,0.5011620937033743,0.3215258855585831,0.7411444141689373,0.8746594005449592,5.727520435967302
baseline,Baseline (kein Head),B,label,V2A,genre,Funk,0,367,0.22543807297597723,0.07084468664850137,0.3923705722070845,0.6212534059945504,12.141689373297003
baseline,Baseline (kein Head),B,label,V2A,genre,Hip hop music,1,367,0.4695064977737386,0.2970027247956403,0.6920980926430518,0.782016348773842,7.3188010899182565
baseline,Baseline (kein Head),B,label,V2A,genre,Jazz,1,367,0.32510180921557796,0.18256130790190736,0.47956403269754766,0.662125340599455,11.155313351498638
baseline,Baseline (kein Head),B,label,V2A,genre,Pop music,1,367,0.44034301351947885,0.25885558583106266,0.6648501362397821,0.8637602179836512,5.730245231607629
baseline,Baseline (kein Head),B,label,V2A,genre,Reggae,0,366,0.2628139522005569,0.10655737704918032,0.43989071038251365,0.6420765027322405,12.1775956284153
baseline,Baseline (kein Head),B,label,V2A,genre,Rock music,1,367,0.39181697862650944,0.21525885558583105,0.6267029972752044,0.8174386920980926,8.163487738419619
baseline,Baseline (kein Head),B,label,V2A,seen_mean,,,,0.4574197225508087,0.2937536027498952,0.6644204651083643,0.8189776379574029,6.991792643264479
baseline,Baseline (kein Head),B,label,V2A,unseen_mean,,,,0.32980470629330283,0.16630931641875493,0.5244685655861784,0.7126631030905833,10.015601812559868
baseline,Baseline (kein Head),B,label,V2A,overall_mean,,,,0.41913521767355694,0.25552031685055315,0.6224348952517087,0.787083277497357,7.898935394053096
baseline,Baseline (kein Head),B,label,A2V,genre,Blues,1,367,0.3151953808514587,0.17438692098092642,0.46321525885558584,0.5967302452316077,12.465940054495913
baseline,Baseline (kein Head),B,label,A2V,genre,Classical music,1,366,0.5260400037520259,0.3825136612021858,0.7076502732240437,0.8579234972677595,6.907103825136612
baseline,Baseline (kein Head),B,label,A2V,genre,Country,1,367,0.31869960169426953,0.19346049046321526,0.45231607629427795,0.5912806539509536,42.46049046321526
baseline,Baseline (kein Head),B,label,A2V,genre,Electronic music,0,367,0.7300698081272148,0.6185286103542235,0.8746594005449592,0.9264305177111717,4.016348773841962
baseline,Baseline (kein Head),B,label,A2V,genre,Funk,0,367,0.2880244532725163,0.035422343324250684,0.6512261580381471,0.7983651226158038,6.722070844686648
baseline,Baseline (kein Head),B,label,A2V,genre,Hip hop music,1,367,0.35366746781178826,0.1335149863760218,0.7193460490463215,0.8501362397820164,6.694822888283379
baseline,Baseline (kein Head),B,label,A2V,genre,Jazz,1,367,0.2806403091094811,0.16893732970027248,0.3569482288828338,0.5068119891008175,16.408719346049047
baseline,Baseline (kein Head),B,label,A2V,genre,Pop music,1,367,0.2097011471098674,0.07901907356948229,0.3242506811989101,0.5776566757493188,13.141689373297003
baseline,Baseline (kein Head),B,label,A2V,genre,Reggae,0,366,0.2795154709152855,0.13934426229508196,0.39617486338797814,0.5546448087431693,9.950819672131148
baseline,Baseline (kein Head),B,label,A2V,genre,Rock music,1,367,0.3027526603528086,0.19618528610354224,0.4196185286103542,0.5340599455040872,38.8991825613079
baseline,Baseline (kein Head),B,label,A2V,seen_mean,,,,0.3295280815259571,0.18971682119937802,0.491906442301761,0.644942749512366,19.568278358826444
baseline,Baseline (kein Head),B,label,A2V,unseen_mean,,,,0.4325365774383389,0.264431738657852,0.6406868073236948,0.7598134830233816,6.896413096886586
baseline,Baseline (kein Head),B,label,A2V,overall_mean,,,,0.36043063029967165,0.2121312964369202,0.5365405518083411,0.6794039695656706,15.766718780244489
untrained,Untrained Heads,A,pair,V2A,genre,Blues,1,367,0.005229306324962818,0.0,0.005449591280653951,0.008174386920980926,1472.975476839237
