epoch,train_loss,val_loss,best_val,is_best,epochs_without_improvement
1,4.026535991874419,3.9702457378957874,3.9702457378957874,1,0
2,3.9451606858999684,3.9580998127334213,3.9580998127334213,1,0
3,3.902906152240541,3.9844588145288724,3.9580998127334213,0,1
4,3.8609280356561535,3.9862542806013352,3.9580998127334213,0,2
5,3.8153631116743028,3.9561292360133473,3.9561292360133473,1,0
6,3.7684707472425676,4.026616102438478,3.9561292360133473,0,1
7,3.705346173212717,4.057652766088087,3.9561292360133473,0,2
8,3.6515755569589525,4.084126009005252,3.9561292360133473,0,3
