epoch,train_loss,val_loss,best_val,is_best,epochs_without_improvement
1,4.055261607639419,4.006135102001678,4.006135102001678,1,0
2,4.000497527528122,3.992836303800066,3.992836303800066,1,0
3,3.9812684516913106,3.9839278686083737,3.9839278686083737,1,0
4,3.9649507090050027,3.9794504564499187,3.9794504564499187,1,0
5,3.94579274370372,3.979061964516328,3.979061964516328,1,0
6,3.925912572840178,3.982457514492522,3.979061964516328,0,1
7,3.9083749415410938,3.999437369661539,3.979061964516328,0,2
8,3.888808631172502,3.9949408416807466,3.979061964516328,0,3
