model_key,model,direction,true_genre,nearest_other_genre,count,row_percent,both_in_cluster
pair,E1,V2A,Rock music,Hip hop music,5,1.3623978201634876,0
pair,E1,V2A,Rock music,Jazz,14,3.8147138964577656,0
pair,E1,V2A,Rock music,Pop music,51,13.896457765667575,0
pair,E1,V2A,Rock music,Reggae,6,1.6348773841961852,0
genre,E2,V2A,Blues,Classical music,27,7.356948228882834,0
genre,E2,V2A,Blues,Country,102,27.79291553133515,0
genre,E2,V2A,Blues,Electronic music,18,4.9046321525885554,0
genre,E2,V2A,Blues,Funk,0,0.0,0
genre,E2,V2A,Blues,Hip hop music,24,6.539509536784741,0
genre,E2,V2A,Blues,Jazz,55,14.986376021798366,0
genre,E2,V2A,Blues,Pop music,24,6.539509536784741,0
genre,E2,V2A,Blues,Reggae,16,4.359673024523161,0
genre,E2,V2A,Blues,Rock music,101,27.52043596730245,0
genre,E2,V2A,Classical music,Blues,2,0.546448087431694,0
genre,E2,V2A,Classical music,Country,103,28.14207650273224,0
genre,E2,V2A,Classical music,Electronic music,9,2.459016393442623,0
genre,E2,V2A,Classical music,Funk,0,0.0,0
genre,E2,V2A,Classical music,Hip hop music,3,0.819672131147541,0
genre,E2,V2A,Classical music,Jazz,241,65.84699453551913,0
genre,E2,V2A,Classical music,Pop music,0,0.0,0
genre,E2,V2A,Classical music,Reggae,2,0.546448087431694,0
genre,E2,V2A,Classical music,Rock music,6,1.639344262295082,0
genre,E2,V2A,Country,Blues,214,58.310626702997276,0
genre,E2,V2A,Country,Classical music,48,13.079019073569482,0
genre,E2,V2A,Country,Electronic music,12,3.2697547683923704,0
genre,E2,V2A,Country,Funk,1,0.2724795640326976,0
genre,E2,V2A,Country,Hip hop music,4,1.0899182561307903,0
genre,E2,V2A,Country,Jazz,25,6.8119891008174385,0
genre,E2,V2A,Country,Pop music,15,4.087193460490464,0
genre,E2,V2A,Country,Reggae,8,2.1798365122615806,0
genre,E2,V2A,Country,Rock music,40,10.899182561307901,0
genre,E2,V2A,Electronic music,Blues,3,0.8174386920980926,0
genre,E2,V2A,Electronic music,Classical music,19,5.177111716621253,0
genre,E2,V2A,Electronic music,Country,12,3.2697547683923704,0
genre,E2,V2A,Electronic music,Funk,25,6.8119891008174385,1
genre,E2,V2A,Electronic music,Hip hop music,146,39.782016348773844,1
genre,E2,V2A,Electronic music,Jazz,9,2.4523160762942777,0
genre,E2,V2A,Electronic music,Pop music,51,13.896457765667575,1
genre,E2,V2A,Electronic music,Reggae,13,3.542234332425068,1
genre,E2,V2A,Electronic music,Rock music,89,24.250681198910083,0
genre,E2,V2A,Funk,Blues,4,1.0899182561307903,0
genre,E2,V2A,Funk,Classical music,12,3.2697547683923704,0
genre,E2,V2A,Funk,Country,33,8.991825613079019,0
genre,E2,V2A,Funk,Electronic music,67,18.256130790190735,1
genre,E2,V2A,Funk,Hip hop music,74,20.16348773841962,1
genre,E2,V2A,Funk,Jazz,22,5.994550408719346,0
genre,E2,V2A,Funk,Pop music,36,9.809264305177111,1
genre,E2,V2A,Funk,Reggae,51,13.896457765667575,1
genre,E2,V2A,Funk,Rock music,68,18.52861035422343,0
genre,E2,V2A,Hip hop music,Blues,0,0.0,0
genre,E2,V2A,Hip hop music,Classical music,2,0.5449591280653951,0
genre,E2,V2A,Hip hop music,Country,4,1.0899182561307903,0
genre,E2,V2A,Hip hop music,Electronic music,95,25.885558583106267,1
genre,E2,V2A,Hip hop music,Funk,3,0.8174386920980926,1
genre,E2,V2A,Hip hop music,Jazz,4,1.0899182561307903,0
genre,E2,V2A,Hip hop music,Pop music,15,4.087193460490464,1
genre,E2,V2A,Hip hop music,Reggae,231,62.94277929155314,1
genre,E2,V2A,Hip hop music,Rock music,13,3.542234332425068,0
genre,E2,V2A,Jazz,Blues,93,25.340599455040874,0
genre,E2,V2A,Jazz,Classical music,82,22.3433242506812,0
genre,E2,V2A,Jazz,Country,59,16.076294277929154,0
genre,E2,V2A,Jazz,Electronic music,22,5.994550408719346,0
genre,E2,V2A,Jazz,Funk,5,1.3623978201634876,0
genre,E2,V2A,Jazz,Hip hop music,24,6.539509536784741,0
genre,E2,V2A,Jazz,Pop music,27,7.356948228882834,0
genre,E2,V2A,Jazz,Reggae,17,4.632152588555858,0
genre,E2,V2A,Jazz,Rock music,38,10.354223433242506,0
genre,E2,V2A,Pop music,Blues,10,2.7247956403269753,0
genre,E2,V2A,Pop music,Classical music,9,2.4523160762942777,0
genre,E2,V2A,Pop music,Country,36,9.809264305177111,0
genre,E2,V2A,Pop music,Electronic music,43,11.716621253405995,1
genre,E2,V2A,Pop music,Funk,36,9.809264305177111,1
genre,E2,V2A,Pop music,Hip hop music,106,28.88283378746594,1
genre,E2,V2A,Pop music,Jazz,20,5.449591280653951,0
genre,E2,V2A,Pop music,Reggae,22,5.994550408719346,1
genre,E2,V2A,Pop music,Rock music,85,23.160762942779293,0
genre,E2,V2A,Reggae,Blues,9,2.459016393442623,0
genre,E2,V2A,Reggae,Classical music,8,2.185792349726776,0
genre,E2,V2A,Reggae,Country,13,3.551912568306011,0
genre,E2,V2A,Reggae,Electronic music,41,11.202185792349727,1
genre,E2,V2A,Reggae,Funk,52,14.207650273224044,1
genre,E2,V2A,Reggae,Hip hop music,185,50.54644808743169,1
genre,E2,V2A,Reggae,Jazz,17,4.644808743169399,0
