epoch,train_loss,val_loss,best_val,is_best,epochs_without_improvement
1,3.894134195745026,3.8276114458606183,3.8276114458606183,1,0
2,3.820862974702051,3.814052137709756,3.814052137709756,1,0
3,3.7925975388757283,3.834259927597795,3.814052137709756,0,1
4,3.770535112917946,3.8104549192680266,3.8104549192680266,1,0
5,3.7539848357393764,3.816870030036019,3.8104549192680266,0,1
6,3.737308713728626,3.806670044864667,3.806670044864667,1,0
7,3.717265352100026,3.8042392605913635,3.8042392605913635,1,0
8,3.6980487197808216,3.811498310989746,3.8042392605913635,0,1
9,3.6816504343767735,3.8156385120154725,3.8042392605913635,0,2
10,3.664514938776663,3.8466384093660047,3.8042392605913635,0,3
